new_cat,new_id,new_pos,old_cat,old_id,old_pos
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Caribou Coffee,228-225@5s8-cd6-fxq,POINT (-93.271052 44.977251)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Caribou Coffee,zzw-22d@5s8-cd6-fvf,POINT (-93.270979 44.978023)
Potbelly Sandwich Works,zzy-22b@5s8-cd6-fs5,POINT (-93.272497 44.976131),Naf Naf Middle Eastern Grill,zzw-22c@5s8-cd6-fzz,POINT (-93.272957 44.977928)
Ruth's Chris Steak House,zzw-227@5s8-cd6-hkf,POINT (-93.27226 44.973112),Caribou Coffee,22j-223@5s8-cd6-hwk,POINT (-93.271741 44.973729)
Ruth's Chris Steak House,zzw-227@5s8-cd6-hkf,POINT (-93.27226 44.973112),Jimmy John's,22p-222@5s8-cd6-ht9,POINT (-93.272812 44.974751)
Ruth's Chris Steak House,zzw-227@5s8-cd6-hkf,POINT (-93.27226 44.973112),The Melting Pot Restaurant,22k-222@5s8-cd6-ht9,POINT (-93.272595 44.974568)
Ruth's Chris Steak House,zzw-227@5s8-cd6-hkf,POINT (-93.27226 44.973112),Naf Naf Middle Eastern Grill,228-223@5s8-cd6-gc5,POINT (-93.271118 44.974439)
Einstein Brothers,222-222@5s8-cd6-389,POINT (-93.261835 44.976787),Subway,zzw-222@5s8-cd6-7dv,POINT (-93.261444 44.978359)
Einstein Brothers,222-222@5s8-cd6-389,POINT (-93.261835 44.976787),Starbucks,zzy-222@5s8-cd6-389,POINT (-93.262859 44.976626)
Einstein Brothers,222-222@5s8-cd6-389,POINT (-93.261835 44.976787),Caribou Coffee,227-222@5s8-cd6-5xq,POINT (-93.261023 44.978536)
Panda Express,zzy-22h@5s8-cjc-8d9,POINT (-93.205711 44.881956),Panda Express,zzy-222@5s8-cjc-8d9,POINT (-93.205746 44.88197)
Panda Express,zzy-22h@5s8-cjc-8d9,POINT (-93.205711 44.881956),Chick-fil-A,229-222@5s8-cjc-ch5,POINT (-93.204635 44.88251)
Panda Express,zzy-22h@5s8-cjc-8d9,POINT (-93.205711 44.881956),Smashburger,229-226@5s8-cjc-ch5,POINT (-93.204762 44.882567)
Pizza Hut,zzy-222@5s8-ckz-8y9,POINT (-93.22934 45.005239),Starbucks,222-222@5s8-ckz-8n5,POINT (-93.229957 45.004853)
Pizza Hut,zzy-222@5s8-ckz-8y9,POINT (-93.22934 45.005239),Burger King,222-222@5s8-cky-t5f,POINT (-93.228054 45.003388)
Pizza Hut,zzy-222@5s8-ckz-8y9,POINT (-93.22934 45.005239),Taco Bell,zzw-222@5s8-cky-t5f,POINT (-93.227898 45.003717)
Pizza Hut,zzy-222@5s8-ckz-8y9,POINT (-93.22934 45.005239),Erbert & Gerbert's,223-225@5s8-cky-wzf,POINT (-93.228164 45.005667)
Pizza Hut,zzy-222@5s8-ckz-8y9,POINT (-93.22934 45.005239),Caribou Coffee,223-222@5s8-cky-wzf,POINT (-93.228057 45.005666)
Pizza Hut,zzy-222@5s8-ckz-8y9,POINT (-93.22934 45.005239),Leeann Chinn,223-223@5s8-cky-wzf,POINT (-93.22774 45.005668)
Pizza Hut,zzy-222@5s8-ckz-8y9,POINT (-93.22934 45.005239),Jimmy John's,22g-222@5s8-cky-wrk,POINT (-93.227154 45.006346)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Chatime,227-222@5s8-ckr-5vf,POINT (-93.236249 44.980243)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Jimmy John's,22n-222@5s8-ckr-v75,POINT (-93.235415 44.980642)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Raising Cane's,zzw-222@5s8-ckr-5cq,POINT (-93.234857 44.979041)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Potbelly Sandwich Works,229-222@5s8-ckr-5vf,POINT (-93.235738 44.980313)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Subway,zzw-226@5s8-ckr-v75,POINT (-93.235025 44.980969)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Starbucks,22c-222@5s8-ckr-v75,POINT (-93.235359 44.981349)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Qdoba Mexican Grill,223-222@5s8-ckr-5vf,POINT (-93.235759 44.980173)
Bonchon,22k-222@5s8-ckr-v75,POINT (-93.235378 44.980757),Kung Fu Tea,zzw-223@5s8-ckr-ty9,POINT (-93.235022 44.981877)
